Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,2.10,,502,500,,8745
1991,2.80,,535,528,5.10,9090
1992,3.20,,560,550,3.90,8921
1993,4.00,,570,560,2.70,8873
1994,5.60,,577,575,1.70,8801
1995,5.00,,582,575,1.20,8775
1996,4.50,,589,590,0.00,8841
1997,4.50,,592,590,1.30,8725
1998,3.60,,604,610,2.30,8641
1999,2.20,,614,615,2.50,8502
2000,2.00,,635,640,3.80,8456
2001,1.30,,659,652,3.60,8439
2002,2.30,,682,685,4.30,8399
2003,2.10,,699,700,1.70,8355
2004,2.20,,718,723,2.60,8439
2005,2.60,4.50,732,735,1.90,8401
2006,3.80,5.80,750,750,2.80,8292
2007,4.00,6.10,759,765,1.50,8081
2008,4.80,7.70,767,770,1.70,8028
2009,4.70,7.00,794,796,2.50,8274
2010,3.90,6.00,811,800,2.10,8212
2011,2.90,4.90,820,817,1.90,8245
2012,4.20,6.70,847,850,2.60,8264
2013,4.20,6.70,867,860,2.20,8196
2014,3.60,5.70,884,875,1.80,8227
2015,3.10,5.20,899,890,2.80,8251
2016,2.50,4.00,942,920,3.80,8316
2017,1.10,2.60,984,950,2.90,8380
2018,2.20,,1036,1000,5.00,8412
2019,2.60,,1092,1051,4.80,8426
2020,2.80,,1158,1140,4.70,8443
2021,1.90,,1197,1200,5.80,8421
2022,2.30,,1250,1200,6.40,8445
2023,2.30,,1455,1485,10.40,7702
2024,2.90,,1512,1500,4.40,7905
2025,2.20,,1532,1500,2.50,8145
